layers,FNO_params,FFNO_params,ratio
4,1188353,119553,9.939968047644141
8,2372225,234625,10.110708577517315
12,3556097,349697,10.169080661258175
16,4739969,464769,10.19854809593583
24,7107713,694913,10.228205545154573
