model,layers,test_NMSE,best_val_NMSE,params,time_sec
ffno,4,0.004074550282798316,0.0040558547222692715,119553,355.70125365257263
ffno,8,0.002920097578316927,0.002919356211235649,234625,623.7601847648621
ffno,12,0.0021960698423515025,0.002199177739308461,349697,889.7221248149872
fno,4,0.004058186099619458,0.004076647405561648,1188353,206.74019956588745
fno,8,0.004426045524642656,0.004455865162277692,2372225,332.58412051200867
fno,12,0.004609942678852301,0.004611501823130407,3556097,466.32371830940247
